id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID041170,12.9337539,77.6305141,"Srinivagilu Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL37155,CAR,,"[""NO PARKING""]",[113],2024-04-01 06:17:46+00,,2024-04-01 06:36:09.22019+00,FKDEV01314,FKUSR01253,5.0,Adugodi,False,No Junction,,,,,,
FKID220278,12.9360409,77.6155315,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL178503,MOTOR CYCLE,,"[""NO PARKING""]",[113],2023-12-31 11:33:46+00,,2024-01-02 21:41:01.953574+00,FKDEV01507,FKUSR01429,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL178503,MOTOR CYCLE,created1,2024-01-08 06:05:05.919+00
FKID100817,12.9361632,77.6158076,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL85886,CAR,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[113,112,107]",2024-03-10 02:23:46+00,,2024-03-10 03:51:44.177812+00,FKDEV01406,FKUSR01440,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,2024-03-27 01:04:25.658233+00,,,,
FKID149904,12.9423453,77.6224668,"20th Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL33827,CAR,,"[""PARKING IN A MAIN ROAD"",""NO PARKING""]","[107,113]",2023-11-12 23:38:46+00,,2023-11-13 00:15:02.159224+00,FKDEV00824,FKUSR00794,5.0,Adugodi,True,No Junction,,,FKN00GL33827,CAR,approved,2023-11-16 00:14:08.985+00
FKID175388,12.9252092,77.6348014,"Sarjapur Marathahalli Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL25365,CAR,,"[""NO PARKING""]",[113],2023-12-19 22:19:46+00,,2023-12-22 23:20:56.578617+00,FKDEV00915,FKUSR00879,5.0,Adugodi,True,No Junction,,,FKN00GL25365,CAR,approved,2023-12-24 01:56:48.929+00
FKID276454,12.9338185,77.6302641,"Srinivagilu Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL217976,MAXI-CAB,,"[""WRONG PARKING""]",[112],2024-03-25 23:51:46+00,,2024-03-26 00:26:32.374943+00,FKDEV00971,FKUSR00932,5.0,Adugodi,True,No Junction,,2024-04-12 17:38:11.785943+00,,,,
FKID127393,12.9278443,77.6332736,"80 Feet Road, Block 1A, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL106363,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-03-26 00:56:46+00,,2024-03-26 01:19:16.968225+00,FKDEV00471,FKUSR00465,5.0,Adugodi,True,No Junction,,2024-04-12 18:21:29.5925+00,,,,
FKID031243,12.9343463,77.6124654,"Hosur Road, UCO Bank Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL28527,SCOOTER,,"[""NO PARKING""]",[113],2024-03-31 02:52:46+00,,2024-03-31 02:54:11.28751+00,FKDEV00902,FKUSR00867,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,2024-04-18 18:45:20.665205+00,,,,
FKID272220,12.9326862,77.6314997,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL215132,SCOOTER,,"[""NO PARKING""]",[113],2024-01-31 23:34:46+00,,2024-01-31 23:36:46.816714+00,FKDEV00237,FKUSR00236,5.0,Adugodi,True,No Junction,,,FKN00GL215132,SCOOTER,approved,2024-02-01 23:36:18.33+00
FKID181767,12.9296052,77.6341303,"1st Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL149679,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-13 05:20:46+00,,2023-12-13 06:07:14.226004+00,FKDEV01403,FKUSR01337,5.0,Adugodi,True,No Junction,,,FKN00GL149679,SCOOTER,approved,2023-12-15 01:46:06.616+00
